nodeid,type,shortname,description
businessfunction|Archival,businessfunction,Archival,
businessfunction|Attribution,businessfunction,Attribution,
businessfunction|Booking,businessfunction,Booking,
businessfunction|Ledger,businessfunction,Ledger,
businessfunction|MDM,businessfunction,MDM,
businessfunction|P&L,businessfunction,P&L,
businessfunction|Reconciliation,businessfunction,Reconciliation,
businessfunction|Reporting,businessfunction,Reporting,
businessfunction|SubLedger,businessfunction,SubLedger,
businessfunction|Valuation,businessfunction,Valuation,
data|Accounting,data,Accounting,
data|Attribution,data,Attribution,
data|Customer,data,Customer,
data|Market,data,Market,
data|Reference,data,Reference,
data|Trade,data,Trade,
data|Valuation,data,Valuation,
os|Linux,os,Linux,
os|Solaris,os,Solaris,
os|Unknown,os,Unknown,
os|Windows,os,Windows,
system|MDM,system,MDM,
system|Rep,system,Rep,
system|Hierarchy,system,Hierarchy,
system|ODS,system,ODS,
system|Ops,system,Ops,
system|Trading,system,Trading,
system|GL,system,GL,
system|Valuations,system,Valuations,
systemsoftware|.Net,systemsoftware,.Net,
systemsoftware|AngularJS,systemsoftware,AngularJS,
systemsoftware|NoSQL,systemsoftware,NoSQL,
systemsoftware|Java,systemsoftware,Java,
systemsoftware|Oracle,systemsoftware,Oracle,
systemsoftware|Spark,systemsoftware,Spark,
systemsoftware|SQL,systemsoftware,SQL,
systemsoftware|Sybase,systemsoftware,Sybase,
